province-name,district-name,subdistrict-name,total,household
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,2884,1195
กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,8360,5322
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,2781,979
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,2619,1096
กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,2574,1001
กรุงเทพมหานคร,พระนคร,เสาชิงช้า,1838,698
กรุงเทพมหานคร,พระนคร,บวรนิเวศ,3440,1577
กรุงเทพมหานคร,พระนคร,ตลาดยอด,1853,1171
กรุงเทพมหานคร,พระนคร,ชนะสงคราม,1593,827
กรุงเทพมหานคร,พระนคร,บ้านพานถม,5269,2002
กรุงเทพมหานคร,พระนคร,บางขุนพรหม,3634,2177
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,2500,971
กรุงเทพมหานคร,ดุสิต,ดุสิต,9399,2716
กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,8571,3040
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,5803,2055
กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,6578,2419
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,44233,22639
กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,41446,17852
กรุงเทพมหานคร,หนองจอก,หนองจอก,24607,9684
กรุงเทพมหานคร,หนองจอก,คลองสิบ,9773,2984
กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,12325,5311
กรุงเทพมหานคร,หนองจอก,โคกแฝด,35191,12987
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,18357,6665
กรุงเทพมหานคร,หนองจอก,ลำผักชี,34624,16077
กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,9904,3284
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,9740,7370
กรุงเทพมหานคร,บางรัก,สีลม,15291,13346
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,4080,4928
กรุงเทพมหานคร,บางรัก,บางรัก,2348,1448
กรุงเทพมหานคร,บางรัก,สี่พระยา,10242,8933
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,85016,62662
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,99215,56827
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,73447,50094
กรุงเทพมหานคร,บางกะปิ,หัวหมาก,67965,67727
กรุงเทพมหานคร,ปทุมวัน,รองเมือง,14953,7143
กรุงเทพมหานคร,ปทุมวัน,วังใหม่,4861,5329
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,2650,962
กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,16935,19018
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,11795,6447
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,5530,2739
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,7879,5631
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,5566,2583
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,6135,2223
กรุงเทพมหานคร,พระโขนง,บางจาก,64128,45935
กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,20942,19347
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,95575,51259
กรุงเทพมหานคร,มีนบุรี,แสนแสบ,45177,15135
กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,30059,21646
กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,67449,35721
กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,15983,11602
กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,26818,16746
กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,32479,19338
กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,8465,3309
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,46252,33987
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,26581,20425
กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,5715,5026
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,6967,4414
กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,6163,3720
กรุงเทพมหานคร,พญาไท,สามเสนใน,28867,21519
กรุงเทพมหานคร,พญาไท,พญาไท,34158,25017
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,7564,2798
กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,10557,3970
กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,18094,7945
กรุงเทพมหานคร,ธนบุรี,บุคคโล,15955,12984
กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,15402,16722
กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,16387,12383
กรุงเทพมหานคร,ธนบุรี,สำเหร่,13210,8728
กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,10699,4420
กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,49098,28534
กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,27501,38728
กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,19894,30772
กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,36563,25501
กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,11140,5435
กรุงเทพมหานคร,คลองสาน,คลองสาน,12362,6502
กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,22230,15854
กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,17625,15165
กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,9462,4625
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,23128,11800
กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,23188,9937
กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,12937,5102
กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,20155,8943
กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,12017,4766
กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,11480,4337
กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,26578,14978
กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,10176,4705
กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,30102,17553
กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,18409,14018
กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,63141,32284
กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,122454,62827
กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,38558,29890
กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,26781,10932
กรุงเทพมหานคร,ภาษีเจริญ,บางจาก,7922,3864
กรุงเทพมหานคร,ภาษีเจริญ,บางแวก,18123,9581
กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,10417,3861
กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,14235,9647
กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,5680,1936
กรุงเทพมหานคร,หนองแขม,หนองแขม,80792,32572
กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,74164,33690
กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,28523,14134
กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก,46454,25056
กรุงเทพมหานคร,บางพลัด,บางพลัด,21255,11440
กรุงเทพมหานคร,บางพลัด,บางอ้อ,23610,15442
กรุงเทพมหานคร,บางพลัด,บางบำหรุ,17289,15335
กรุงเทพมหานคร,บางพลัด,บางยี่ขัน,24417,18528
กรุงเทพมหานคร,ดินแดง,ดินแดง,69071,39944
กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก,41709,25102
กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,66586,35713
กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,26032,13749
กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,43490,27979
กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,33959,17982
กรุงเทพมหานคร,สาทร,ยานนาวา,17781,10882
กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ,18580,16392
กรุงเทพมหานคร,บางซื่อ,บางซื่อ,76665,53362
กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,40841,25197
กรุงเทพมหานคร,จตุจักร,ลาดยาว,39176,30966
กรุงเทพมหานคร,จตุจักร,เสนานิคม,20413,20531
กรุงเทพมหานคร,จตุจักร,จันทรเกษม,37680,28840
กรุงเทพมหานคร,จตุจักร,จอมพล,36366,45482
กรุงเทพมหานคร,จตุจักร,จตุจักร,20865,14802
กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,20909,10422
กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร,21817,11002
กรุงเทพมหานคร,บางคอแหลม,บางโคล่,33498,19443
กรุงเทพมหานคร,ประเวศ,ประเวศ,87896,38579
กรุงเทพมหานคร,ประเวศ,หนองบอน,39710,25484
กรุงเทพมหานคร,ประเวศ,ดอกไม้,56749,33847
กรุงเทพมหานคร,คลองเตย,คลองเตย,57524,35452
กรุงเทพมหานคร,คลองเตย,คลองตัน,10539,16088
กรุงเทพมหานคร,คลองเตย,พระโขนง,20950,32263
กรุงเทพมหานคร,สวนหลวง,สวนหลวง,49005,34662
กรุงเทพมหานคร,สวนหลวง,อ่อนนุช,43723,30511
กรุงเทพมหานคร,สวนหลวง,พัฒนาการ,30677,20473
กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,33745,15686
กรุงเทพมหานคร,จอมทอง,บางค้อ,33193,19195
กรุงเทพมหานคร,จอมทอง,บางมด,41816,24004
กรุงเทพมหานคร,จอมทอง,จอมทอง,30673,15710
กรุงเทพมหานคร,ดอนเมือง,สีกัน,63376,30603
กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,79986,41128
กรุงเทพมหานคร,ดอนเมือง,สนามบิน,22685,11577
กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,23284,10734
กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท,9924,14492
กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี,13677,13163
กรุงเทพมหานคร,ราชเทวี,มักกะสัน,15747,19686
กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,86453,48720
กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,25633,12012
กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,9569,18402
กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,48786,45722
กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ,21917,23181
กรุงเทพมหานคร,บางแค,บางแค,39113,27003
กรุงเทพมหานคร,บางแค,บางแคเหนือ,58116,29181
กรุงเทพมหานคร,บางแค,บางไผ่,39589,15349
กรุงเทพมหานคร,บางแค,หลักสอง,55663,26357
กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,71737,44217
กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน,26440,18136
กรุงเทพมหานคร,สายไหม,สายไหม,80868,37169
กรุงเทพมหานคร,สายไหม,ออเงิน,45017,26841
กรุงเทพมหานคร,สายไหม,คลองถนน,86690,48287
กรุงเทพมหานคร,คันนายาว,คันนายาว,46380,19202
กรุงเทพมหานคร,คันนายาว,รามอินทรา,47814,28916
กรุงเทพมหานคร,สะพานสูง,สะพานสูง,27461,11938
กรุงเทพมหานคร,สะพานสูง,ราษฎร์พัฒนา,42696,18869
กรุงเทพมหานคร,สะพานสูง,ทับช้าง,27502,13107
กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,23444,14662
กรุงเทพมหานคร,วังทองหลาง,สะพานสอง,10952,7480
กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์,26427,14200
กรุงเทพมหานคร,วังทองหลาง,พลับพลา,42233,28826
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,63714,28541
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก,27254,10156
กรุงเทพมหานคร,คลองสามวา,บางชัน,91760,44127
กรุงเทพมหานคร,คลองสามวา,ทรายกองดิน,13601,5467
กรุงเทพมหานคร,คลองสามวา,ทรายกองดินใต้,17982,5664
กรุงเทพมหานคร,บางนา,บางนาเหนือ,38561,34698
กรุงเทพมหานคร,บางนา,บางนาใต้,46440,43747
กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา,24178,10155
กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์,56171,26887
กรุงเทพมหานคร,ทุ่งครุ,บางมด,54965,28665
กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ,69099,29023
กรุงเทพมหานคร,บางบอน,บางบอนเหนือ,22380,10793
กรุงเทพมหานคร,บางบอน,บางบอนใต้,23594,9559
กรุงเทพมหานคร,บางบอน,คลองบางพราน,30689,19658
กรุงเทพมหานคร,บางบอน,คลองบางบอน,22505,13909
