province-name,district-name,total,household
กรุงเทพมหานคร,พระนคร,39345,19016
กรุงเทพมหานคร,ดุสิต,74584,32869
กรุงเทพมหานคร,หนองจอก,186227,74844
กรุงเทพมหานคร,บางรัก,41701,36025
กรุงเทพมหานคร,บางเขน,184231,119489
กรุงเทพมหานคร,บางกะปิ,141412,117821
กรุงเทพมหานคร,ปทุมวัน,39399,32452
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,36905,19623
กรุงเทพมหานคร,พระโขนง,85070,65282
กรุงเทพมหานคร,มีนบุรี,140752,66394
กรุงเทพมหานคร,ลาดกระบัง,181253,108362
กรุงเทพมหานคร,ยานนาวา,72833,54412
กรุงเทพมหานคร,สัมพันธวงศ์,18845,13160
กรุงเทพมหานคร,พญาไท,63025,46536
กรุงเทพมหานคร,ธนบุรี,97169,65530
กรุงเทพมหานคร,บางกอกใหญ่,59797,32954
กรุงเทพมหานคร,ห้วยขวาง,83958,95001
กรุงเทพมหานคร,คลองสาน,63357,42956
กรุงเทพมหานคร,ตลิ่งชัน,100887,45173
กรุงเทพมหานคร,บางกอกน้อย,96745,55591
กรุงเทพมหานคร,บางขุนเทียน,185595,95111
กรุงเทพมหานคร,ภาษีเจริญ,121716,69711
กรุงเทพมหานคร,หนองแขม,154956,66262
กรุงเทพมหานคร,ราษฎร์บูรณะ,74977,39190
กรุงเทพมหานคร,บางพลัด,86571,60745
กรุงเทพมหานคร,ดินแดง,110780,65046
กรุงเทพมหานคร,บึงกุ่ม,136108,77441
กรุงเทพมหานคร,สาทร,70320,45256
กรุงเทพมหานคร,บางซื่อ,117506,78559
กรุงเทพมหานคร,จตุจักร,154500,140621
กรุงเทพมหานคร,บางคอแหลม,76224,40867
กรุงเทพมหานคร,ประเวศ,184355,97910
กรุงเทพมหานคร,คลองเตย,89013,83803
กรุงเทพมหานคร,สวนหลวง,123405,85646
กรุงเทพมหานคร,จอมทอง,139427,74595
กรุงเทพมหานคร,ดอนเมือง,166047,83308
กรุงเทพมหานคร,ราชเทวี,62632,58075
กรุงเทพมหานคร,ลาดพร้าว,112086,60732
กรุงเทพมหานคร,วัฒนา,80272,87305
กรุงเทพมหานคร,บางแค,192481,97890
กรุงเทพมหานคร,หลักสี่,98177,62353
กรุงเทพมหานคร,สายไหม,212575,112297
กรุงเทพมหานคร,คันนายาว,94194,48118
กรุงเทพมหานคร,สะพานสูง,97659,43914
กรุงเทพมหานคร,วังทองหลาง,103056,65168
กรุงเทพมหานคร,คลองสามวา,214311,93955
กรุงเทพมหานคร,บางนา,85001,78445
กรุงเทพมหานคร,ทวีวัฒนา,80349,37042
กรุงเทพมหานคร,ทุ่งครุ,124064,57688
กรุงเทพมหานคร,บางบอน,99168,53919
