province-name,district-name,total,household
กรุงเทพมหานคร,พระนคร,41646,19100
กรุงเทพมหานคร,ดุสิต,78602,32404
กรุงเทพมหานคร,หนองจอก,181367,71054
กรุงเทพมหานคร,บางรัก,43914,35399
กรุงเทพมหานคร,บางเขน,185369,116209
กรุงเทพมหานคร,บางกะปิ,141489,112795
กรุงเทพมหานคร,ปทุมวัน,40844,32169
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,39310,19608
กรุงเทพมหานคร,พระโขนง,86290,62527
กรุงเทพมหานคร,มีนบุรี,141030,63794
กรุงเทพมหานคร,ลาดกระบัง,178350,102711
กรุงเทพมหานคร,ยานนาวา,74114,53724
กรุงเทพมหานคร,สัมพันธวงศ์,20168,13179
กรุงเทพมหานคร,พญาไท,65275,45733
กรุงเทพมหานคร,ธนบุรี,99591,61415
กรุงเทพมหานคร,บางกอกใหญ่,61579,32974
กรุงเทพมหานคร,ห้วยขวาง,83493,89332
กรุงเทพมหานคร,คลองสาน,66347,42118
กรุงเทพมหานคร,ตลิ่งชัน,101802,43891
กรุงเทพมหานคร,บางกอกน้อย,99729,52288
กรุงเทพมหานคร,บางขุนเทียน,184805,93312
กรุงเทพมหานคร,ภาษีเจริญ,122070,66651
กรุงเทพมหานคร,หนองแขม,155243,64392
กรุงเทพมหานคร,ราษฎร์บูรณะ,76590,38263
กรุงเทพมหานคร,บางพลัด,87475,59492
กรุงเทพมหานคร,ดินแดง,111052,64140
กรุงเทพมหานคร,บึงกุ่ม,138050,76666
กรุงเทพมหานคร,สาทร,72648,43854
กรุงเทพมหานคร,บางซื่อ,119431,77645
กรุงเทพมหานคร,จตุจักร,153792,133963
กรุงเทพมหานคร,บางคอแหลม,79095,40806
กรุงเทพมหานคร,ประเวศ,182984,95188
กรุงเทพมหานคร,คลองเตย,90446,79410
กรุงเทพมหานคร,สวนหลวง,122676,82934
กรุงเทพมหานคร,จอมทอง,143330,74375
กรุงเทพมหานคร,ดอนเมือง,166289,79816
กรุงเทพมหานคร,ราชเทวี,66279,57243
กรุงเทพมหานคร,ลาดพร้าว,114275,58302
กรุงเทพมหานคร,วัฒนา,80830,84722
กรุงเทพมหานคร,บางแค,192253,96515
กรุงเทพมหานคร,หลักสี่,100360,59484
กรุงเทพมหานคร,สายไหม,208928,109011
กรุงเทพมหานคร,คันนายาว,95523,46722
กรุงเทพมหานคร,สะพานสูง,96211,42485
กรุงเทพมหานคร,วังทองหลาง,104478,64109
กรุงเทพมหานคร,คลองสามวา,209120,90104
กรุงเทพมหานคร,บางนา,86155,73052
กรุงเทพมหานคร,ทวีวัฒนา,79228,35482
กรุงเทพมหานคร,ทุ่งครุ,123761,55959
กรุงเทพมหานคร,บางบอน,101246,51344
