province-name,district-name,subdistrict-name,total,household
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,3230,1207
กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,9124,5362
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,2964,979
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,2829,1128
กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,2859,999
กรุงเทพมหานคร,พระนคร,เสาชิงช้า,1983,699
กรุงเทพมหานคร,พระนคร,บวรนิเวศ,3886,1574
กรุงเทพมหานคร,พระนคร,ตลาดยอด,2051,1190
กรุงเทพมหานคร,พระนคร,ชนะสงคราม,1734,830
กรุงเทพมหานคร,พระนคร,บ้านพานถม,5812,2018
กรุงเทพมหานคร,พระนคร,บางขุนพรหม,3927,2183
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,2663,971
กรุงเทพมหานคร,ดุสิต,ดุสิต,10862,2538
กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,9661,3042
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,6300,2061
กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,6908,2422
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,47763,21630
กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,40283,16551
กรุงเทพมหานคร,หนองจอก,หนองจอก,23185,8521
กรุงเทพมหานคร,หนองจอก,คลองสิบ,9238,2566
กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,11852,4525
กรุงเทพมหานคร,หนองจอก,โคกแฝด,34505,12403
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,17938,6378
กรุงเทพมหานคร,หนองจอก,ลำผักชี,32169,14505
กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,9686,3056
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,10244,6813
กรุงเทพมหานคร,บางรัก,สีลม,17629,12501
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,4414,4924
กรุงเทพมหานคร,บางรัก,บางรัก,2552,1446
กรุงเทพมหานคร,บางรัก,สี่พระยา,10176,6980
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,88513,60606
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,97687,54916
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,75455,48645
