province-name,district-name,total,household
กรุงเทพมหานคร,พระนคร,40254,19042
กรุงเทพมหานคร,ดุสิต,75814,32601
กรุงเทพมหานคร,หนองจอก,184138,73048
กรุงเทพมหานคร,บางรัก,42921,35410
กรุงเทพมหานคร,บางเขน,184611,117364
กรุงเทพมหานคร,บางกะปิ,141360,114722
กรุงเทพมหานคร,ปทุมวัน,40077,32138
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,38100,19619
กรุงเทพมหานคร,พระโขนง,85696,63570
กรุงเทพมหานคร,มีนบุรี,141018,65464
กรุงเทพมหานคร,ลาดกระบัง,179899,105461
กรุงเทพมหานคร,ยานนาวา,73416,53804
กรุงเทพมหานคร,สัมพันธวงศ์,19546,13176
กรุงเทพมหานคร,พญาไท,64037,45792
กรุงเทพมหานคร,ธนบุรี,98286,61682
กรุงเทพมหานคร,บางกอกใหญ่,60675,32989
กรุงเทพมหานคร,ห้วยขวาง,83692,92916
กรุงเทพมหานคร,คลองสาน,64961,42133
กรุงเทพมหานคร,ตลิ่งชัน,101330,44465
กรุงเทพมหานคร,บางกอกน้อย,98028,54010
กรุงเทพมหานคร,บางขุนเทียน,185159,94280
กรุงเทพมหานคร,ภาษีเจริญ,121833,68956
กรุงเทพมหานคร,หนองแขม,155124,65367
กรุงเทพมหานคร,ราษฎร์บูรณะ,75534,38962
กรุงเทพมหานคร,บางพลัด,87205,59630
กรุงเทพมหานคร,ดินแดง,109802,64834
กรุงเทพมหานคร,บึงกุ่ม,137125,77044
กรุงเทพมหานคร,สาทร,71306,45052
กรุงเทพมหานคร,บางซื่อ,118634,78240
กรุงเทพมหานคร,จตุจักร,154003,137877
กรุงเทพมหานคร,บางคอแหลม,77673,40879
กรุงเทพมหานคร,ประเวศ,183893,97044
กรุงเทพมหานคร,คลองเตย,89514,80552
กรุงเทพมหานคร,สวนหลวง,122994,85273
กรุงเทพมหานคร,จอมทอง,141098,74464
กรุงเทพมหานคร,ดอนเมือง,165941,82504
กรุงเทพมหานคร,ราชเทวี,64468,58039
กรุงเทพมหานคร,ลาดพร้าว,113197,58514
กรุงเทพมหานคร,วัฒนา,80515,85834
กรุงเทพมหานคร,บางแค,192234,97036
กรุงเทพมหานคร,หลักสี่,98377,61013
กรุงเทพมหานคร,สายไหม,210954,111381
กรุงเทพมหานคร,คันนายาว,95201,47803
กรุงเทพมหานคร,สะพานสูง,97061,43293
กรุงเทพมหานคร,วังทองหลาง,103456,64542
กรุงเทพมหานคร,คลองสามวา,212016,92321
กรุงเทพมหานคร,บางนา,85345,74932
กรุงเทพมหานคร,ทวีวัฒนา,79771,36186
กรุงเทพมหานคร,ทุ่งครุ,124093,56853
กรุงเทพมหานคร,บางบอน,100203,53510
